img_name,url
/data/RTR/images/bottom/MSGM77.jpg,http://www.renttherunway.com/shop/designers/msgm/floral_snap_pants
/data/RTR/images/bottom/CEL37.jpg,http://www.renttherunway.com/shop/designers/currentelliott/the_boyfriend_rolled_shorts
/data/RTR/images/bottom/RBJ15.jpg,http://www.renttherunway.com/shop/designers/rag__bone_jean/super_high_rise_army_shorts
/data/RTR/images/bottom/TT332.jpg,http://www.renttherunway.com/shop/designers/trina_turk/indigo_barrier_islands_pants
/data/RTR/images/bottom/PLL33.jpg,http://www.renttherunway.com/shop/designers/31_phillip_lim/utility_belted_skirt
/data/RTR/images/bottom/JBR26.jpg,http://www.renttherunway.com/shop/designers/j_brand/python_alana_skinny_jeans
/data/RTR/images/bottom/RM110.jpg,http://www.renttherunway.com/shop/designers/rebecca_minkoff/selena_skirt_in_yellow_multi
/data/RTR/images/bottom/SB105.jpg,http://www.renttherunway.com/shop/designers/see_by_chloe/buttoned_midi_skirt
/data/RTR/images/bottom/RM173.jpg,http://www.renttherunway.com/shop/designers/rebecca_minkoff/navy_marigold_skirt
/data/RTR/images/bottom/MIH21.jpg,http://www.renttherunway.com/shop/designers/mih_jeans/daily_crop_cord_jeans
/data/RTR/images/bottom/KPL76.jpg,http://www.renttherunway.com/shop/designers/the_kooples/floral_tiered_skirt
/data/RTR/images/bottom/HB19.jpg,http://www.renttherunway.com/shop/designers/hunter_bell/bronze_chevron_sequins_pencil_skirt
/data/RTR/images/bottom/COH9.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/red_elsa_mid_rise_jeans
/data/RTR/images/bottom/FTW32.jpg,http://www.renttherunway.com/shop/designers/fifteen_twenty/navy_printed_skirt
/data/RTR/images/bottom/TXO2.jpg,http://www.renttherunway.com/shop/designers/3x1/w2_straight_crop_jeans
/data/RTR/images/bottom/APA11.jpg,http://www.renttherunway.com/shop/designers/apiece_apart/turkanna_skirt
/data/RTR/images/bottom/DL244.jpg,http://www.renttherunway.com/shop/designers/derek_lam_10_crosby/wrap_aline_mini_skirt
/data/RTR/images/bottom/MKP4.jpg,http://www.renttherunway.com/shop/designers/minkpink/lucia_button_midi_skirt
/data/RTR/images/bottom/FTW27.jpg,http://www.renttherunway.com/shop/designers/fifteen_twenty/floral_front_slit_midi_skirt
/data/RTR/images/bottom/RT209.jpg,http://www.renttherunway.com/shop/designers/rebecca_taylor/scalloped_suiting_shorts
/data/RTR/images/bottom/TT88.jpg,http://www.renttherunway.com/shop/designers/trinaturk_dresses/dorrisskirtcreamblueandpinkstripepattern
/data/RTR/images/bottom/BDK4.jpg,http://www.renttherunway.com/shop/designers/bb_dakota/black_keaton_legging
/data/RTR/images/bottom/COH19.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/racer_maternity_jeans
/data/RTR/images/bottom/RKB12.jpg,http://www.renttherunway.com/shop/designers/ronny_kobo/penelope_pleather_skirt
/data/RTR/images/bottom/DRW19.jpg,http://www.renttherunway.com/shop/designers/drew/mac_ruffle_skirt
/data/RTR/images/bottom/JOA16.jpg,http://www.renttherunway.com/shop/designers/joa/blackwhite_abstract_striped_midi_skirt
/data/RTR/images/bottom/SPL36.jpg,http://www.renttherunway.com/shop/designers/splendid/sea_spray_active_treatment_joggers
/data/RTR/images/bottom/MRR15.jpg,http://www.renttherunway.com/shop/designers/moon_river/navy_botanical_pleated_shorts
/data/RTR/images/bottom/TH127.jpg,http://www.renttherunway.com/shop/designers/theory/navy_high_waisted_leggings
/data/RTR/images/bottom/KRI6.jpg,http://www.renttherunway.com/shop/designers/krisa/floral_bias_skirt
/data/RTR/images/bottom/TT340.jpg,http://www.renttherunway.com/shop/designers/trina_turk/bayshore_drive_shorts
/data/RTR/images/bottom/RT172.jpg,http://www.renttherunway.com/shop/designers/rebecca_taylor/black_floral_flare_pants
/data/RTR/images/bottom/DLD20.jpg,http://www.renttherunway.com/shop/designers/dl1961/farrow_high_rise_jeans
/data/RTR/images/bottom/SW389.jpg,http://www.renttherunway.com/shop/designers/slate__willow/black_faux_leather_culottes
